Check/EFT #,Payer,Payee,Check/EFT Date,Received by Availity,Check/EFT Amount
9979524798,"AARP SUPPLEMENTAL HEALTH PLANS FROM UNITEDHEALTHCARE","MONITORING ASSOCIATES",11/01/2023,10/28/2023,87.69
823303000192187,"AETNA","PHYSICIAN OVERSIGHT LLC",11/02/2023,10/30/2023,147.03
732685,"DEVOTED HEALTH PLAN OF TEXAS, INC.","MONITORING ASSOCIATES",11/01/2023,10/31/2023,383.75
C23303E13338870,"BLUECROSS BLUESHIELD OF TEXAS","PHYSICIAN OVERSIGHT LLC",11/01/2023,10/31/2023,21620.12
C23304E13713850,"BLUECROSS BLUESHIELD OF TEXAS","MONITORING ASSOCIATES LLC",11/02/2023,11/01/2023,172.02
923306000042545,"AETNA","TCM HEALTHCARE LLC",11/02/2023,11/02/2023,0.00
923306000042550,"AETNA","TCM HEALTHCARE LLC",11/02/2023,11/02/2023,0.00
5445494305VT4,"TRIWEST HEALTHCARE ALLIANCE","MONITORING ASSOCIATES",11/01/2023,11/02/2023,1738.84
M23306E27349800,"BLUE CROSS MEDICARE ADVANTAGE C/O PROVIDER SVCS","MONITORING ASSOCIATES LLC",11/03/2023,11/02/2023,431.87
9022813022,"ANTHEM INSURANCE COMPANIES, INC.","TCM HEALTHCARE LLC",11/01/2023,11/02/2023,0.00
119305893231102,"HUMANA INC.","MONITORING ASSOCIATES",11/01/2023,11/02/2023,336.65
9022821062,"BCBS HEALTHCARE PLAN OF GA","UNIVERSITY NEURO",11/01/2023,11/02/2023,0.00
9022802851,"BCBS FEP","MONITORING ASSOCIATES LLC",11/01/2023,11/02/2023,0.00
119305894231102,"HUMANA INC.","MONITORING ASSOCIATES",11/01/2023,11/02/2023,488.83
9022821063,"BCBS HEALTHCARE PLAN OF GA","UNIVERSITY NEURO",11/01/2023,11/02/2023,0.00
9022817579,"BCBS HEALTHCARE PLAN OF GA","MONITORING ASSOCIATES LLC",11/01/2023,11/02/2023,0.00
C23305N37562050,"BLUECROSS BLUESHIELD OF TEXAS","PHYSICIAN OVERSIGHT LLC",11/01/2023,11/02/2023,0.00
23307B1000662505,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY INC","MONITORING ASSOCIATES",11/06/2023,11/02/2023,1935.86
